2013-01-01 00:01:00,2013-01-01 00:03:00, 1.3, 1.3, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 4459785
2013-01-01 00:01:00,2013-01-01 00:03:00, 1.4, 1.4, 1.3, 1.3, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 223678
2013-01-01 00:02:00,2013-01-01 00:03:00, 1.5, 1.5, 1.4, 1.4, 1.3, 1.3, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 232592
2013-01-01 00:02:00,2013-01-01 00:03:00, 1.1, 1.6, 1.5, 1.5, 1.4, 1.4, 1.3, 1.3, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 180320
2013-01-01 00:03:00,2013-01-01 00:04:00, 1.3, 1.1, 1.1, 1.6, 1.5, 1.5, 1.4, 1.4, 1.3, 1.3, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 252854
2013-01-01 00:00:00,2013-01-01 00:04:00, 1.4, 1.3, 1.3, 1.1, 1.1, 1.6, 1.5, 1.5, 1.4, 1.4, 1.3, 1.3, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 266226
2013-01-01 00:00:00,2013-01-01 00:04:00, 1.5, 1.4, 1.4, 1.3, 1.3, 1.1, 1.1, 1.6, 1.5, 1.5, 1.4, 1.4, 1.3, 1.3, NULL, NULL, NULL, NULL, NULL, NULL, 536908
2013-01-01 00:01:00,2013-01-01 00:04:00, 1.1, 1.5, 1.5, 1.4, 1.4, 1.3, 1.3, 1.1, 1.1, 1.6, 1.5, 1.5, 1.4, 1.4, 1.3, 1.3, NULL, NULL, NULL, NULL, 853786
2013-01-01 00:03:00,2013-01-01 00:04:00, 1.3, 1.6, 1.1, 1.5, 1.5, 1.4, 1.4, 1.3, 1.3, 1.1, 1.1, 1.6, 1.5, 1.5, 1.4, 1.4, 1.3, 1.3, NULL, NULL, 589586
2013-01-01 00:01:00,2013-01-01 00:04:00, 1.4, 1.1, 1.3, 1.6, 1.1, 1.5, 1.5, 1.4, 1.4, 1.3, 1.3, 1.1, 1.1, 1.6, 1.5, 1.5, 1.4, 1.4, 1.3, 1.3, 688864
